"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2516","adding an invoice line appears in the invoice table","","Sun Apr 26 05:43:42 UTC 2026","passed","Sun Apr 26 05:43:44 UTC 2026","Mini ERP — Inventory & Invoicing","capabilities-demos.spec.ts","",""
"","2739","Reset demo restores baseline after mutation","","Sun Apr 26 05:43:35 UTC 2026","passed","Sun Apr 26 05:43:38 UTC 2026","Mini Ticketing System","capabilities-demos.spec.ts","",""
"","2698","changing date range updates KPI values","","Sun Apr 26 05:43:48 UTC 2026","passed","Sun Apr 26 05:43:51 UTC 2026","Live BI Dashboard","capabilities-demos.spec.ts","",""
"","1446","renders heading and 5 seed SKUs","","Sun Apr 26 05:43:38 UTC 2026","passed","Sun Apr 26 05:43:39 UTC 2026","Mini ERP — Inventory & Invoicing","capabilities-demos.spec.ts","",""
"","1383","renders heading and 4 seed tickets","","Sun Apr 26 05:43:29 UTC 2026","passed","Sun Apr 26 05:43:30 UTC 2026","Mini Ticketing System","capabilities-demos.spec.ts","",""
"","2280","no demo shows the crash fallback","","Sun Apr 26 05:43:26 UTC 2026","passed","Sun Apr 26 05:43:28 UTC 2026","DemoFrame error boundary","capabilities-demos.spec.ts","",""
"","2695","stock increase and decrease buttons update the count","","Sun Apr 26 05:43:39 UTC 2026","passed","Sun Apr 26 05:43:42 UTC 2026","Mini ERP — Inventory & Invoicing","capabilities-demos.spec.ts","",""
"","2467","advancing a ticket moves it through status stages","","Sun Apr 26 05:43:33 UTC 2026","passed","Sun Apr 26 05:43:35 UTC 2026","Mini Ticketing System","capabilities-demos.spec.ts","",""
"","2999","Reset demo restores baseline after mutation","","Sun Apr 26 05:43:51 UTC 2026","passed","Sun Apr 26 05:43:54 UTC 2026","Live BI Dashboard","capabilities-demos.spec.ts","",""
"","2670","Reset demo restores baseline after mutation","","Sun Apr 26 05:43:44 UTC 2026","passed","Sun Apr 26 05:43:47 UTC 2026","Mini ERP — Inventory & Invoicing","capabilities-demos.spec.ts","",""
"","2559","create ticket form adds a new ticket to the table","","Sun Apr 26 05:43:30 UTC 2026","passed","Sun Apr 26 05:43:32 UTC 2026","Mini Ticketing System","capabilities-demos.spec.ts","",""
"","1272","renders heading and KPI cards","","Sun Apr 26 05:43:47 UTC 2026","passed","Sun Apr 26 05:43:48 UTC 2026","Live BI Dashboard","capabilities-demos.spec.ts","",""
